Sector,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,Start Year,End Year,Years in Business,Primary_Reason,Failure_Type,Survival_Bracket,Failure_Count,Color_Reason_Label,Random_Country
Finance and Insurance,1,1,1,0,0,0,0,0,0,0,0,0,0,2012,2023,11,Giants,Internal,Long,3,Giants,China
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2002,2008,6,Giants,Internal,Mid,3,Giants,UK
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2006,2011,5,Giants,Internal,Mid,3,Giants,Australia
Finance and Insurance,1,0,1,0,0,0,0,0,0,1,0,0,0,2013,2023,10,Giants,Internal,Long,3,Giants,Brazil
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2016,2022,6,Giants,Internal,Mid,3,Giants,China
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,1,2011,2016,5,Giants,Internal,Mid,4,Giants,Japan
Finance and Insurance,1,0,1,0,0,0,0,0,0,1,0,0,0,2021,2023,2,Giants,Internal,Short,3,Giants,Germany
Finance and Insurance,1,0,1,0,0,0,1,0,0,0,0,0,0,2012,2022,10,Giants,Internal,Long,3,Giants,China
Finance and Insurance,1,0,1,0,0,0,0,1,0,0,0,0,0,2010,2016,6,Giants,Internal,Mid,3,Giants,Australia
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2014,2019,5,Giants,Internal,Mid,4,Giants,Brazil
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2012,2020,8,Giants,Internal,Long,3,Giants,UK
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,1,0,2012,2021,9,Giants,Internal,Long,4,Giants,Australia
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,0,0,2006,2021,15,Giants,Internal,Long,3,Giants,Australia
Finance and Insurance,1,0,1,0,1,0,0,1,0,0,0,0,0,2013,2017,4,Giants,Internal,Mid,4,Giants,Germany
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2008,2018,10,Giants,Internal,Long,2,Giants,Canada
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2020,8,Giants,Internal,Long,2,Giants,Brazil
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2005,2008,3,Giants,Internal,Mid,3,Giants,India
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,0,2008,2017,9,Giants,Internal,Long,3,Giants,Australia
Finance and Insurance,0,0,1,1,0,0,0,1,0,0,0,0,0,2011,2017,6,Competition,Internal,Mid,3,Competition,Canada
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,0,2002,2007,5,Giants,Internal,Mid,3,Giants,India
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2015,2020,5,Giants,Internal,Mid,3,Giants,Brazil
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2009,2013,4,Giants,Internal,Mid,3,Giants,USA
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2010,2017,7,Giants,Internal,Long,3,Giants,Japan
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,0,0,2003,2018,15,Giants,Internal,Long,3,Giants,Canada
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2017,5,Giants,Internal,Mid,2,Giants,France
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2016,2020,4,Giants,Internal,Mid,4,Giants,USA
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2007,2018,11,Giants,Internal,Long,3,Giants,Japan
